year,adjective,gender
1991,big,male
1991,traumatised,male
1991,healthy,male
1991,proud,male
1991,dignified,male
1991,honest,male
1991,elder,male
1991,young,male
1992,cruel,male
1992,widowed,male
1992,natural,male
1992,dead,male
1992,real,male
1992,protege,male
1992,gullible,male
1992,young,male
1992,greedy,male
1992,royal,male
1992,deceased,male
1992,amoral,male
1992,elderly,male
1992,younger,male
1992,new,male
1992,innocent,male
1992,unbeknown,male
1992,innocent,male
1992,famous,male
1992,wealthy,male
1992,long,male
1992,dead,male
1992,simple,male
1992,late,male
1992,new,male
1992,elder,male
1992,sympathetic,male
1992,longtime,male
1992,wealthy,male
1992,marry,male
1992,spoiled,male
1992,major,male
1992,little,male
1992,indian,male
1992,little,male
1992,honest,male
1992,newborn,male
1992,twin,male
1992,remaining,male
1993,honest,male
1993,unable,male
1993,wealthy,male
1993,poor,male
1993,fake,male
1993,real,male
1993,young,male
1993,repentant,male
1993,common,male
1993,middle,male
1993,psychotic,male
1993,legendary,male
1993,homeless,male
1993,new,male
1993,corrupt,male
1993,assistant,male
1993,tribal,male
1993,wounded,male
1993,single,male
1993,young,male
1993,corrupt,male
1993,stepbrother,male
1993,real,male
1993,twin,male
1994,dejected,male
1994,romantic,male
1994,orphan,male
1995,conservative,male
1995,ideal,male
1995,fearful,male
1995,loyal,male
1995,frustrated,male
1995,twin,male
1995,rich,male
1995,proud,male
1996,following,male
1996,discussions.and,male
1996,unconscious,male
1996,maternal,male
1996,dutiful,male
1996,honourable,male
1996,lord,male
1996,influential,male
1996,real,male
1996,elderly,male
1996,available,male
1996,disapproving,male
1996,young,male
1996,silly,male
1996,wealthy,male
1996,neighboring,male
1996,twin,male
1996,young,male
1996,adopted,male
1996,local,male
1996,ruthless,male
1997,honest,male
1997,angry,male
1997,old,male
1997,drunkard,male
1997,ill,male
1997,powerful,male
1997,effective,male
1997,influential,male
1997,unbending,male
1997,criminal,male
1997,renowned,male
1997,twin,male
1997,young,male
1997,happy,male
1997,greedy,male
1997,wealthy,male
1997,corrupt,male
1997,miscreant,male
1997,western,male
1997,old,male
1997,adopted,male
1997,angry,male
1997,deranged,male
1997,elder,male
1997,younger,male
1997,middle,male
1997,helpless,male
1998,poor,male
1998,sister,male
1998,new,male
1998,young,male
1998,respectable,male
1998,naive,male
1998,beloved,male
1998,confederate,male
1998,ultimate,male
1998,petty,male
1998,young,male
1998,elder,male
1998,corrupt,male
1998,wayward,male
1998,young,male
1998,little,male
1998,wealthy,male
1998,playboy,male
1998,rich,male
1998,unaware,male
1998,mysterious,male
1999,late,male
1999,healthy,male
1999,captive,male
1999,wealthy,male
1999,codename,male
1999,late,male
1999,young,male
1999,young,male
1999,comforting,male
1999,pampered,male
1999,healthy,male
1999,young,male
1999,criminal,male
1999,young,male
1999,honest,male
1999,close,male
1999,grateful,male
1999,unknown,male
2000,honest,male
2000,young,male
2000,loving,male
2000,young,male
2000,aspiring,male
2000,mysterious,male
2000,young,male
2000,common,male
2000,pretend,male
2000,good,male
2000,twin,male
2000,innocent,male
2000,different,male
2000,shameless,male
2000,rival,male
2000,late,male
2000,new,male
2000,young,male
2000,real,male
2000,wrong,male
2001,twin,male
2001,arabic,male
2001,apprehend,male
2001,faithful,male
2001,old,male
2001,common,male
2001,old,male
2001,poor,male
2001,acclaimed,male
2001,young,male
2001,innocent,male
2001,wealthy,male
2001,wealthy,male
2001,real,male
2001,great,male
2001,impossible,male
2002,wealthy,male
2002,young,male
2002,real,male
2002,suspended,male
2002,second,male
2002,young,male
2002,young,male
2002,young,male
2002,ill,male
2002,disguise,male
2002,big,male
2002,overprotective,male
2002,estranged,male
2002,respected,male
2002,deceased,male
2002,anonymous,male
2002,young,male
2002,frustrated,male
2002,armed,male
2002,aspiring,male
2002,real,male
2002,disabled,male
2003,angry,male
2003,flat,male
2003,notorious,male
2003,jailed,male
2003,irate,male
2003,successful,male
2003,adopted,male
2003,new,male
2003,heartbroken,male
2003,true,male
2003,fiance,male
2003,indian,male
2003,local,male
2003,nuclear,male
2003,dead,male
2003,late,male
2003,strange,male
2003,retired,male
2003,missing,male
2003,biological,male
2003,rich,male
2003,jealous,male
2003,18th,male
2003,enthusiastic,male
2003,disappointed,male
2003,new,male
2003,new,male
2003,aspiring,male
2003,guileless,male
2003,associate,male
2003,young,male
2003,holy,male
2003,old,male
2003,rough,male
2003,injured,male
2003,holy,male
2003,pakistani,male
2004,corrupt,male
2004,senior,male
2004,free,male
2004,homophobic,male
2004,corrupt,male
2004,special,male
2004,old,male
2004,desperate,male
2004,bearded,male
2004,wealthy,male
2004,sweet,male
2004,young,male
2004,mysterious,male
2004,ruthless,male
2004,ruthless,male
2004,young,male
2004,nice,male
2004,rival,male
2004,unemployed,male
2004,fiance,male
2004,luckiest,male
2004,young,male
2004,late,male
2004,young,male
2004,indian,male
2004,carefree,male
2005,principled,male
2005,eccentric,male
2005,lost,male
2005,honest,male
2005,happy,male
2005,young,male
2005,personal,male
2005,local,male
2005,beautiful,male
2005,jealous,male
2005,shy,male
2005,bitter,male
2005,childlike,male
2005,horrified,male
2005,rich,male
2005,rough,male
2005,bilingual,male
2005,criminal,male
2005,local,male
2005,wrong,male
2005,wealthy,male
2005,illegitimate,male
2005,deaf,male
2005,leading,male
2005,shrewd,male
2005,young,male
2005,upright,male
2005,mock,male
2005,young,male
2005,future,male
2005,beautiful,male
2005,future,male
2005,favourite,male
2005,captive,male
2005,deaf,male
2005,little,male
2005,disabled,male
2005,responsible,male
2005,jihadi,male
2006,unable,male
2006,aimless,male
2006,new,male
2006,wealthy,male
2006,elder,male
2006,honest,male
2006,old,male
2006,young,male
2006,retired,male
2006,dead,male
2006,selfish,male
2006,runaway,male
2006,real,male
2006,late,male
2006,rival,male
2006,small,male
2006,real,male
2006,reluctant,male
2006,young,male
2006,good,male
2006,corrupt,male
2006,simple,male
2006,young,male
2006,powerful,male
2006,unfortunate,male
2006,solitary,male
2006,drunk,male
2006,evil,male
2006,rich,male
2006,anxious,male
2006,young,male
2006,homeless,male
2006,unemployed,male
2006,political,male
2006,desperate,male
2006,spoilt,male
2006,late,male
2006,local,male
2006,bad,male
2006,indestructible,male
2007,strict,male
2007,local,male
2007,wrong,male
2007,local,male
2007,spoilt,male
2007,happy,male
2007,famous,male
2007,dead,male
2007,unidentified,male
2007,corrupt,male
2007,notorious,male
2007,original,male
2007,biological,male
2007,poor,male
2007,right,male
2007,scared,male
2007,frustrated,male
2007,real,male
2007,young,male
2007,big,male
2007,indian,male
2007,good,male
2007,old,male
2007,newborn,male
2007,painstaking,male
2007,prominent,male
2007,private,male
2007,disabled,male
2007,lucky,male
2007,married,male
2007,decent,male
2008,simple,male
2008,small,male
2008,furious,male
2008,drunkard,male
2008,wannabe,male
2008,rival,male
2008,commanding,male
2008,insane,male
2008,new,male
2008,late,male
2008,young,male
2008,lame,male
2008,old,male
2008,new,male
2008,furious,male
2008,pleased,male
2008,brave,male
2008,spirited,male
2008,terrorist,male
2008,popular,male
2008,lucky,male
2008,real,male
2008,elderly,male
2008,alive,male
2008,ungrateful,male
2008,common,male
2008,old,male
2008,unable,male
2008,cruel,male
2008,adopted,male
2008,mute,male
2008,real,male
2008,loving,male
2008,good,male
2008,shocked,male
2008,charismatic,male
2008,cheery,male
2008,horrified,male
2009,foster,male
2009,injured,male
2009,guards,male
2009,idol,male
2009,hunky,male
2009,powerful,male
2009,young,male
2009,tribal.kamble,male
2009,suspended,male
2009,superior,male
2009,patronizing,male
2009,loutish,male
2009,lunatic,male
2009,maternal,male
2009,orthodox,male
2009,stoic,male
2009,foster,male
2010,outraged,male
2010,acclaimed,male
2010,young,male
2010,young,male
2010,successful,male
2010,fake,male
2010,old,male
2010,elderly,male
2010,following,male
2010,old,male
2010,lifeless,male
2010,old,male
2010,married,male
2010,twin,male
2011,elder,male
2011,dead,male
2011,old,male
2011,widowed,male
2011,dutiful,male
2011,decent,male
2011,marrying,male
2011,gregarious,male
2012,prosthetic,male
2012,common,male
2012,bad,male
2012,manku,male
2012,domineering,male
2012,hesitant,male
2012,strict,male
2012,retired,male
2012,chief,male
2012,shy,male
2012,young,male
2012,innocent,male
2012,depressed,male
2013,little,male
2013,wealthy,male
2013,common,male
2013,supporting,male
2013,record,male
2014,wounded,male
2014,terrorist,male
2014,rich,male
2014,local,male
2015,unemployed,male
2015,real,male
2015,terrorist,male
2015,deep,male
2015,crazy,male
2015,infamous,male
2015,changed,male
2015,functioning,male
2015,popular,male
2015,local,male
2015,frustrated,male
2015,wise,male
2015,young,male
2015,cousins,male
2015,happy,male
2015,real,male
2015,muslim,male
2015,invisible,male
2015,powerful,male
2015,dead,male
2015,fake,male
2015,wealthy,male
2015,elderly,male
2015,jealous,male
2015,late,male
2015,infant,male
2015,tearful,male
2015,pakistani,male
2015,pakistani,male
2015,indian,male
