year,verb,gender
1991,ridicules,female
1991,saves,female
1991,convinces,female
1991,grabs,female
1991,works,female
1991,finds,female
1991,marries,female
1991,feels,female
1991,loves,female
1992,creates,female
1992,passes,female
1992,bails,female
1992,confronts,female
1992,tricks,female
1992,meets,female
1992,calls,female
1992,meets,female
1992,asks,female
1992,regains,female
1992,accuses,female
1992,swears,female
1992,wants,female
1992,comes,female
1992,asks,female
1992,kills,female
1992,kidnaps,female
1992,goes,female
1992,traps,female
1992,falls,female
1992,loves,female
1992,finds,female
1992,finds,female
1992,marries,female
1992,shows,female
1992,runs,female
1992,learns,female
1992,does,female
1992,meets,female
1993,decides,female
1993,lets,female
1993,introduces,female
1993,tells,female
1993,dies,female
1993,thinks,female
1993,comes,female
1993,loves,female
1993,reports,female
1993,meets,female
1993,goes,female
1993,informs,female
1993,shoots,female
1993,prevents,female
1993,commits,female
1993,leads,female
1993,goes,female
1993,offends,female
1993,embraces,female
1993,turns,female
1993,admits,female
1993,fires,female
1993,bids,female
1993,lodges,female
1993,aborts,female
1993,walks,female
1993,accepts,female
1994,manages,female
1994,visits,female
1994,leaves,female
1994,reciprocates,female
1994,grows,female
1995,tells,female
1995,marries,female
1995,grows,female
1995,dies,female
1996,disappears,female
1996,finds,female
1996,follows,female
1996,says,female
1996,manages,female
1996,locks,female
1996,meets,female
1996,falls,female
1996,meets,female
1996,reveals,female
1996,beats,female
1996,tries,female
1996,meets,female
1996,flashes,female
1996,tells,female
1996,meets,female
1996,gives,female
1996,burns,female
1996,tells,female
1996,admits,female
1996,conceives,female
1996,swaraj,female
1996,forgives,female
1996,tries,female
1996,abducts,female
1996,marries,female
1996,finds,female
1996,returns,female
1997,offers,female
1997,finds,female
1997,marries,female
1997,introduces,female
1997,tries,female
1997,knows,female
1997,needs,female
1997,realises,female
1997,runs,female
1997,enters,female
1997,bails,female
1997,arrives,female
1997,prefers,female
1997,stops,female
1997,kidnaps,female
1997,lives,female
1997,tells,female
1997,sees,female
1997,suggests,female
1997,weds,female
1997,marries,female
1997,gives,female
1997,goes,female
1997,tells,female
1997,falls,female
1998,witness,female
1998,mistake,female
1998,goes,female
1998,marries,female
1998,takes,female
1998,discovers,female
1998,rescues,female
1998,struggles,female
1998,rejects,female
1998,wants,female
1998,refuses,female
1998,sees,female
1998,loves,female
1998,wants,female
1998,falls,female
1998,sits,female
1998,learns,female
1999,leaves,female
1999,happens,female
1999,refuses,female
1999,realizes,female
1999,sends,female
1999,walks,female
1999,sends,female
1999,stabs,female
1999,refuses,female
1999,meets,female
1999,finds,female
1999,denies,female
1999,falls,female
1999,goes,female
1999,meets,female
1999,leaves,female
1999,meets,female
1999,irritates,female
1999,meets,female
1999,shoots,female
1999,telephones,female
1999,transforms,female
1999,meets,female
1999,wants,female
1999,works,female
1999,takes,female
1999,kidnaps,female
1999,wants,female
1999,censures,female
1999,discovers,female
1999,plays,female
1999,grabs,female
1999,saves,female
2000,marries,female
2000,tries,female
2000,meets,female
2000,marries,female
2000,knows,female
2000,learns,female
2000,falls,female
2000,reveals,female
2000,looks,female
2000,works,female
2000,carries,female
2000,incites,female
2000,sees,female
2000,returns,female
2000,rescues,female
2000,survives,female
2000,revives,female
2000,brutally,female
2000,begins,female
2000,meets,female
2000,marries,female
2000,reaches,female
2000,tries,female
2000,goes,female
2000,falls,female
2000,meets,female
2000,immensely,female
2000,comes,female
2001,finds,female
2001,dies,female
2001,begins,female
2001,marries,female
2001,threatens,female
2001,gets,female
2001,breaks,female
2001,tries,female
2001,relocates,female
2001,learns,female
2001,sends,female
2001,attempts,female
2001,remains,female
2001,urges,female
2001,loves,female
2001,beg,female
2001,meets,female
2001,intervenes,female
2001,allows,female
2001,enters,female
2002,comes,female
2002,loves,female
2002,meets,female
2002,wants,female
2002,wants,female
2002,forces,female
2002,comments,female
2002,approaches,female
2002,meets,female
2002,falls,female
2002,advises,female
2002,answers,female
2002,talks,female
2002,looks,female
2002,refuses,female
2002,resides,female
2002,returns,female
2002,gets,female
2002,plays,female
2002,resides,female
2002,tells,female
2002,hires,female
2002,finds,female
2002,comes,female
2002,meets,female
2002,thinks,female
2002,meets,female
2002,meets,female
2002,notices,female
2002,hits,female
2002,meets,female
2002,meets,female
2003,understands,female
2003,walks,female
2003,comes,female
2003,comes,female
2003,dies,female
2003,realizes,female
2003,saves,female
2003,starts,female
2003,finds,female
2003,learns,female
2003,accompanies,female
2003,shows,female
2003,tells,female
2003,kills,female
2003,meets,female
2003,tries,female
2003,meets,female
2003,meets,female
2003,comes,female
2003,rushes,female
2003,attempts,female
2003,shows,female
2003,runs,female
2003,encounters,female
2003,follows,female
2003,meets,female
2003,raises,female
2003,tries,female
2003,informs,female
2003,bears,female
2003,meets,female
2003,meets,female
2003,inspires,female
2003,calls,female
2003,finds,female
2003,calls,female
2003,kidnaps,female
2003,tries,female
2003,rushes,female
2003,supplies,female
2003,brushes,female
2003,experiences,female
2003,meets,female
2003,loses,female
2003,sees,female
2003,sees,female
2003,starts,female
2003,finds,female
2004,arrives,female
2004,goes,female
2004,accompanies,female
2004,meets,female
2004,leaves,female
2004,faints,female
2004,arrives,female
2004,loves,female
2004,stops,female
2004,uses,female
2004,slaps,female
2004,knows,female
2004,remembers,female
2004,tells,female
2004,meets,female
2004,arrives,female
2004,reads,female
2004,travels,female
2004,tells,female
2004,encourages,female
2004,marries,female
2004,marries,female
2004,pleads,female
2004,needs,female
2004,loves,female
2004,pleads,female
2004,rejects,female
2004,gets,female
2004,gives,female
2004,gets,female
2004,meets,female
2004,begs,female
2004,comes,female
2004,helps,female
2004,leaves,female
2004,takes,female
2005,approves,female
2005,comes,female
2005,tries,female
2005,launches,female
2005,reciprocates,female
2005,comes,female
2005,learns,female
2005,leaves,female
2005,informs,female
2005,focuses,female
2005,helps,female
2005,goes,female
2005,falls,female
2005,recruits,female
2005,meets,female
2005,comes,female
2005,refuses,female
2005,takes,female
2005,reveals,female
2005,drowns,female
2005,takes,female
2005,appears,female
2005,gets,female
2005,adores,female
2005,teaches,female
2005,thinks,female
2005,thinks,female
2005,joins,female
2005,marries,female
2005,returns,female
2005,meets,female
2005,takes,female
2005,shows,female
2005,doubts,female
2005,gets,female
2005,begins,female
2005,shoots,female
2006,finds,female
2006,wins,female
2006,attends,female
2006,disapproves,female
2006,wants,female
2006,meets,female
2006,disappears,female
2006,comes,female
2006,holds,female
2006,comes,female
2006,spots,female
2006,wakes,female
2006,causes,female
2006,marries,female
2006,confesses,female
2006,takes,female
2006,quits,female
2006,decides,female
2006,arrives,female
2006,falls,female
2006,chooses,female
2006,comes,female
2006,mehralives,female
2006,gets,female
2006,reciprocates,female
2006,marries,female
2006,suggests,female
2006,takes,female
2006,contacts,female
2006,visits,female
2006,thinks,female
2006,reassures,female
2006,kills,female
2006,uses,female
2006,helps,female
2006,saves,female
2006,comes,female
2006,tries,female
2007,arrives,female
2007,discovers,female
2007,informs,female
2007,kills,female
