year,adjective,gender
1991,widowed,female
1991,pregnant,female
1991,native,female
1991,successful,female
1991,adopted,female
1991,young,female
1991,saintly,female
1991,tough,female
1991,young,female
1991,beautiful,female
1991,beautiful,female
1991,late,female
1991,young,female
1991,young,female
1991,old,female
1991,biological,female
1991,dead,female
1992,young,female
1992,rude,female
1992,young,female
1992,local,female
1992,unknown,female
1992,grown,female
1992,old,female
1992,new,female
1992,beautiful,female
1992,old,female
1992,beautiful,female
1992,lovely,female
1992,simple,female
1992,old,female
1992,grown,female
1993,wealthy,female
1993,poor,female
1993,poor,female
1993,young,female
1993,newborn,female
1993,innocent,female
1993,glitzy,female
1993,deceased,female
1993,bubbly,female
1993,evil,female
1993,innocent,female
1993,young,female
1993,secret,female
1993,snobby,female
1993,successful,female
1993,traditional,female
1993,sympathetic,female
1993,quarrelsome,female
1993,sister,female
1993,young,female
1994,great,female
1994,widowed,female
1995,poor,female
1995,wealthy,female
1995,effervescent,female
1996,acclaimed,female
1996,young,female
1996,illegitimate,female
1996,sad,female
1996,poor,female
1996,sister,female
1996,teenage,female
1996,dead,female
1996,presumed,female
1997,rich,female
1997,beloved,female
1997,rich,female
1997,new,female
1997,single,female
1997,insane,female
1997,beautiful,female
1997,sister,female
1997,snaky,female
1997,equal,female
1997,little,female
1998,respectable,female
1998,wannabe,female
1998,mysterious,female
1998,little,female
1998,compassionate,female
1998,grand,female
1998,young,female
1998,unable,female
1998,motherly,female
1998,clumsy,female
1998,rich,female
1999,american,female
1999,rich,female
1999,secret,female
1999,young,female
1999,following,female
1999,modern,female
1999,loving,female
1999,biological,female
1999,adopted,female
1999,sister,female
1999,hardworking,female
1999,beautiful,female
1999,beloved,female
1999,old,female
1999,young,female
1999,beautiful,female
1999,simple,female
1999,desirable,female
1999,jais,female
1999,beautiful,female
1999,young,female
2000,beautiful,female
2000,young,female
2000,sister,female
2000,lonely,female
2000,young,female
2000,impoverished,female
2000,blind,female
2000,second,female
2000,young,female
2000,pregnant,female
2000,innocent,female
2000,twin,female
2000,second,female
2000,old,female
2000,rich,female
2000,beautiful,female
2000,young,female
2001,deceased,female
2001,wealthy,female
2001,surrogate,female
2001,pregnant,female
2001,old,female
2001,american,female
2001,pretty,female
2001,greedy,female
2001,muslim,female
2001,vivacious,female
2001,young,female
2001,sister,female
2001,young,female
2001,rich,female
2001,mysterious,female
2001,reluctant,female
2001,innocent,female
2001,right,female
2001,skeptical,female
2002,tribal,female
2002,white,female
2002,popular,female
2002,aware,female
2002,real,female
2002,married,female
2002,widowed,female
2002,insensitive,female
2002,little,female
2002,little,female
2002,frustrated,female
2002,new,female
2002,popular,female
2002,quiet,female
2002,anxious,female
2002,remorseless,female
2002,mysterious,female
2002,beautiful,female
2003,exotic,female
2003,married,female
2003,young,female
2003,obsessive,female
2003,comatose,female
2003,subordinate,female
2003,young,female
2003,american,female
2003,wild,female
2003,nagging,female
2003,headstrong,female
2003,pretty,female
2003,little,female
2003,broken,female
2003,good,female
2003,elderly,female
2003,adopted,female
2003,happy,female
2003,pregnant,female
2003,wealthy,female
2003,young,female
2003,young,female
2003,common,female
2003,pregnant,female
2003,perfect,female
2003,exuberant,female
2003,timid,female
2003,little,female
2004,young,female
2004,ambitious,female
2004,patient,female
2004,bored,female
2004,widowed,female
2004,common,female
2004,drunk,female
2004,muslim,female
2004,following,female
2004,sikh,female
2004,schoolgirl,female
2004,beautiful,female
2004,teenage,female
2004,aggressive,female
2004,jealous,female
2004,young,female
2004,young,female
2004,young,female
2004,depressed,female
2004,rich,female
2004,sikh,female
2005,charming,female
2005,young,female
2005,blind,female
2005,beautiful,female
2005,gullible,female
2005,popular,female
2005,sister,female
2005,little,female
2005,original,female
2005,fiancee,female
2005,niece,female
2005,young,female
2005,violent,female
2005,dutiful,female
2005,sister,female
2005,dead,female
2005,beautiful,female
2005,hot,female
2005,dead,female
2005,drunk,female
2005,great,female
2006,rich,female
2006,ailing,female
2006,young,female
2006,promiscuous,female
2006,real,female
2006,new,female
2006,old,female
2006,urban,female
2006,twin,female
2006,simple,female
2006,blind,female
2006,saucy,female
2006,wealthy,female
2006,sister,female
2006,simple,female
2006,original,female
2006,mysterious,female
2006,attractive,female
2006,innocent,female
2006,afghan,female
2006,disappointed,female
2006,young,female
2006,close,female
2006,young,female
2006,local,female
2006,withering,female
2006,ill,female
2006,little,female
2006,pregnant,female
2006,young,female
2006,sister,female
2006,lovely,female
2006,beautiful,female
2006,middle,female
2007,old,female
2007,ideal,female
2007,attractive,female
2007,happy,female
2007,content,female
2007,young,female
2007,starlet,female
2007,wealthy,female
2007,rich,female
2007,young,female
2007,teenage,female
2007,emotional,female
2007,exclusive,female
2007,widowed,female
2007,affluent,female
2007,nagging,female
2007,real,female
2007,white,female
2007,real,female
2007,single,female
2007,mysterious,female
2007,hot,female
2007,gentle,female
2007,kindhearted,female
2008,safe,female
2008,beautiful,female
2008,young,female
2008,little,female
2008,elderly,female
2008,young,female
2008,right,female
2008,delighted,female
2008,girl,female
2008,beloved,female
2008,drunk,female
2008,perfect,female
2008,feisty,female
2008,hurried,female
2008,eunuch,female
2008,kisses,female
2008,captive,female
2008,disguised,female
2008,deaf,female
2008,sister,female
2008,supermodel,female
2008,lovely,female
2008,special,female
2008,fiancee,female
2008,beautiful,female
2009,young,female
2009,young,female
2009,muslim,female
2009,american,female
2009,muslim,female
2010,beautiful,female
2010,unruly,female
2010,adult,female
2010,psychiatrist,female
2010,shattered,female
2010,young,female
2010,cultured,female
2010,striking,female
2010,beautiful,female
2010,young,female
2010,frustrating,female
2010,lovely,female
2011,canadian,female
2011,challenged,female
2011,nice,female
