movie name,character,mentions,total centrality,count,average centrality,gender
Yaraana,mother,0.0,34.83333333333333,29.0,1.2011494252873562,female
Yaraana,shikha,0.0,42.0,11.0,3.8181818181818175,female
Yaraana,lalita,0.0,1078.0,179.0,6.022346368715084,female
Yaraana,madhi,0.0,53.99999999999999,20.0,2.6999999999999997,female
Zamana Deewana,priya,1.0,502.33333333333337,17.0,29.54901960784314,female
Zamana Deewana,daughter,1.0,344.0,15.0,22.933333333333334,female
Aandhi,aarti,4.0,26.0,24.0,1.0833333333333333,female
Aandhi,daughter,1.0,33.0,7.0,4.714285714285714,female
Anari,mrs.,0.0,0.0,0.0,0.0,female
Chhoti Si Baat,prabha,6.0,128.0,56.0,2.2857142857142856,female
Chupke Chupke,vasudha,3.0,102.0,64.0,1.59375,female
Chupke Chupke,lata,1.0,0.0,16.0,0.0,female
Chupke Chupke,woman,0.0,0.0,0.0,0.0,female
Chupke Chupke,sulekha,12.0,227.5,151.0,1.5066225165562914,female
Deewaar,sumitra,5.0,0.0,42.0,0.0,female
Deewaar,mother,5.0,702.1666666666671,74.0,9.488738738738745,female
Deewaar,anita,6.0,148.0,70.0,2.1142857142857143,female
Deewaar,ravi,14.0,350.5,156.0,2.246794871794872,female
Deewaar,veera,1.0,34.0,8.0,4.25,female
Dharam Karam,kanta,2.0,0.0,28.0,0.0,female
Dharmatma,mona,14.0,158.0,101.0,1.5643564356435644,female
Dharmatma,anu,3.0,104.0,55.0,1.8909090909090909,female
Dharmatma,mother,1.0,138.7,16.0,8.66875,female
Dharmatma,reshma,16.0,50.0,87.0,0.5747126436781609,female
Dharmatma,vikram,20.0,136.5,136.0,1.0036764705882353,female
Dharmatma,anokhelal,10.0,186.66666666666663,80.0,2.333333333333333,female
Dharmatma,singh,10.0,512.5,92.0,5.570652173913044,female
Players,naina,11.0,331.5,133.0,2.492481203007519,female
Players,riya,14.0,126.0,103.0,1.2233009708737863,female
Players,daughter,2.0,324.5,23.0,14.108695652173912,female
Players,charlie,20.0,1130.6666666666663,241.0,4.691562932226832,female
Ghost,suhani,3.0,58.83333333333333,43.0,1.368217054263566,female
Ek Mahal Ho Sapno Ka,daughter,1.0,79.0,11.0,7.181818181818182,female
Faraar,woman,1.0,119.0,24.0,4.958333333333333,female
Faraar,sister,3.0,42.99999999999999,37.0,1.1621621621621618,female
Agneepath,gawde,0.0,165.0,16.0,10.3125,female
Agneepath,girl,0.0,364.0,32.0,11.375,female
Agneepath,mother,9.0,136.83333333333334,51.0,2.6830065359477127,female
Geet Gaata Chal,radha,2.0,7.0,23.0,0.3043478260869565,female
Gali Gali Chor Hai,girl,1.0,3114.4333333333334,34.0,91.60098039215688,female
Ek Main Aur Ekk Tu,mother,3.0,34.99999999999999,24.0,1.458333333333333,female
Jai Santoshi Maa,ma,7.0,723.3333333333333,81.0,8.930041152263373,female
Jai Santoshi Maa,satyavati,15.0,1562.1666666666663,193.0,8.094127806563039,female
Jai Santoshi Maa,santoshi,12.0,0.0,101.0,0.0,female
Ekk Deewana Tha,jessie,64.0,1742.9999999999998,416.0,4.189903846153846,female
Ekk Deewana Tha,sachin,50.0,3580.6666666666674,486.0,7.367626886145406,female
Ekk Deewana Tha,samantha,3.0,118.5,42.0,2.821428571428572,female
Julie,mother,7.0,300.3333333333333,107.0,2.806853582554517,female
Julie,julie,28.0,580.3333333333333,175.0,3.316190476190476,female
Julie,girl,1.0,144.91666666666666,20.0,7.245833333333333,female
Married 2 America,malhotra,1.0,45.0,10.0,4.5,female
Married 2 America,anjali,1.0,0.0,9.0,0.0,female
Jodi Breakers,sonali,11.0,344.5,117.0,2.9444444444444446,female
Jodi Breakers,madonna,2.0,22.0,17.0,1.2941176470588236,female
Jodi Breakers,mrs.,0.0,0.0,0.0,0.0,female
Jodi Breakers,maggie,16.0,226.16666666666663,129.0,1.7532299741602069,female
Jodi Breakers,ira,4.0,206.0,63.0,3.2698412698412698,female
Jodi Breakers,mrs,0.0,12.0,89.0,0.1348314606741573,female
Tere Naal Love Ho Gaya,woman,1.0,98.5,16.0,6.15625,female
Tere Naal Love Ho Gaya,mini,18.0,545.0,256.0,2.12890625,female
Kala Sona,durga,2.0,656.3333333333334,60.0,10.93888888888889,female
Paan Singh Tomar,mother,3.0,15.5,13.0,1.1923076923076923,female
Khel Khel Mein,cobra,15.0,773.0,178.0,4.342696629213483,female
Khel Khel Mein,sherie,21.0,417.5,127.0,3.287401574803149,female
Khushboo,mother,4.0,143.63333333333333,51.0,2.816339869281045,female
Khushboo,lakhi,2.0,198.5,23.0,8.630434782608695,female
Khushboo,kusum,13.0,483.5,160.0,3.021875,female
Kahaani,vidya,27.0,384.0,369.0,1.0406504065040652,female
Kahaani,bagchi,3.0,444.8333333333333,47.0,9.464539007092196,female
Mausam,kajli,3.0,0.0,53.0,0.0,female
Mausam,mother,3.0,175.0,31.0,5.645161290322581,female
Mausam,woman,1.0,108.0,12.0,9.0,female
Mausam,chanda,8.0,580.3333333333333,69.0,8.41062801932367,female
Say Yes to Love,girl,1.0,131.66666666666666,13.0,10.128205128205128,female
Zindagi Tere Naam,woman,2.0,142.0,17.0,8.352941176470589,female
Zindagi Tere Naam,anjali,6.0,33.0,52.0,0.6346153846153846,female
Zindagi Tere Naam,girl,1.0,49.0,13.0,3.769230769230769,female
Zindagi Tere Naam,daughter,1.0,6.0,3.0,2.0,female
Agent Vinod,,0.0,0.0,0.0,0.0,female
Agent Vinod,vinod,0.0,1230.9999999999995,482.0,2.553941908713692,female
Agent Vinod,iram,0.0,434.0,220.0,1.9727272727272729,female
Agent Vinod,girl,0.0,137.0,22.0,6.227272727272728,female
Agent Vinod,ruby,0.0,142.0,79.0,1.7974683544303798,female
Mere Sajna,mother,1.0,74.0,16.0,4.625,female
Blood Money,aarzoo,7.0,126.5,100.0,1.265,female
Bumboo,pinky,9.0,310.8333333333333,121.0,2.5688705234159777,female
Mili,mili,12.0,64.66666666666667,80.0,0.8083333333333333,female
Mili,girl,2.0,300.0,35.0,8.571428571428571,female
Housefull 2,parul,3.0,13.0,25.0,0.52,female
Housefull 2,chintu,15.0,334.16666666666663,164.0,2.03760162601626,female
Housefull 2,patel,1.0,7.0,5.0,1.4,female
Housefull 2,heena,13.0,777.0000000000001,143.0,5.433566433566434,female
Housefull 2,bobby,15.0,373.0,146.0,2.554794520547945,female
Housefull 2,dabboo,9.0,96.5,92.0,1.048913043478261,female
Housefull 2,batuk,1.0,0.0,5.0,0.0,female
Housefull 2,sister,0.0,0.0,0.0,0.0,female
Nishant,sushila,7.0,0.0,35.0,0.0,female
Ponga Pandit,daughter,1.0,0.0,17.0,0.0,female
Vicky Donor,mother,5.0,197.5,47.0,4.202127659574468,female
Vicky Donor,dolly,2.0,187.0,36.0,5.194444444444445,female
Vicky Donor,ashima,28.0,271.66666666666663,222.0,1.2237237237237235,female
Hate Story,kavya,55.0,1323.0000000000002,514.0,2.573929961089495,female
Tezz,meghna,3.0,311.0,28.0,11.107142857142858,female
Tezz,megha,2.0,19.0,12.0,1.5833333333333333,female
Tezz,nikita,7.0,282.0,84.0,3.357142857142857,female
Jannat 2,jhanvi,7.0,288.8833333333334,84.0,3.439087301587302,female
Raftaar,woman,1.0,138.0,17.0,8.117647058823529,female
Raftaar,rani,15.0,862.0000000000001,106.0,8.132075471698114,female
Fatso!,nandini,3.0,302.0,32.0,9.4375,female
Dangerous Ishq,neetu,3.0,154.0,14.0,11.0,female
Dangerous Ishq,sanjana,35.0,956.0,325.0,2.9415384615384617,female
Dangerous Ishq,girl,2.0,242.0,16.0,15.125,female
Rani Aur Lalpari,kamla,9.0,56.0,75.0,0.7466666666666667,female
Rani Aur Lalpari,rani,8.0,46.0,55.0,0.8363636363636363,female
Ishaqzaade,mother,2.0,344.0333333333333,29.0,11.863218390804596,female
Ishaqzaade,zoya,62.0,1791.0666666666664,495.0,3.618316498316498,female
Ishaqzaade,parvati,4.0,0.0,24.0,0.0,female
Ishaqzaade,daughter,4.0,321.9666666666667,52.0,6.191666666666667,female
Arjun: The Warrior Prince,draupadi,5.0,6.5,46.0,0.1413043478260869,female
Salaakhen,seema,3.0,0.0,42.0,0.0,female
Salaakhen,guddi,3.0,0.0,49.0,0.0,female
Sankalp,kamla,4.0,10.0,28.0,0.3571428571428571,female
Sankalp,geeta,4.0,0.0,80.0,0.0,female
Rowdy Rathore,mother,2.0,18.0,7.0,2.571428571428572,female
Rowdy Rathore,woman,3.0,135.33333333333334,42.0,3.2222222222222223,female
Rowdy Rathore,paro,12.0,3.0,88.0,0.034090909090909,female
Rowdy Rathore,girl,1.0,295.5,17.0,17.38235294117647,female
Sanyasi,woman,1.0,42.0,9.0,4.666666666666667,female
Teri Meri Kahaani,aradhana,7.0,211.66666666666669,113.0,1.873156342182891,female
Teri Meri Kahaani,radhika,5.0,197.5,74.0,2.668918918918919,female
Teri Meri Kahaani,woman,1.0,107.66666666666666,12.0,8.972222222222221,female
Teri Meri Kahaani,meera,18.0,502.0,124.0,4.048387096774194,female
Teri Meri Kahaani,ruksar,11.0,384.0,112.0,3.4285714285714284,female
Teri Meri Kahaani,radha,7.0,161.66666666666666,99.0,1.632996632996633,female
Teri Meri Kahaani,girl,1.0,108.0,12.0,9.0,female
Sholay,woman,1.0,181.5,13.0,13.961538461538462,female
Sholay,radha,2.0,96.0,17.0,5.647058823529412,female
Sholay,basanti,3.0,206.0,26.0,7.923076923076923,female
Sholay,daughter,1.0,80.0,10.0,8.0,female
Maximum,daughter,4.0,86.66666666666669,31.0,2.7956989247311834,female
Maximum,supriya,1.0,0.0,4.0,0.0,female
Bol Bachchan,bachchan,2.0,116.0,47.0,2.4680851063829787,female
Bol Bachchan,abbas,24.0,3814.566666666668,200.0,19.07283333333334,female
Bol Bachchan,sania,2.0,7.0,26.0,0.2692307692307692,female
Bol Bachchan,ali,1.0,16.0,10.0,1.6,female
Toofan Aur Bijlee,madhuri,13.0,475.0,85.0,5.588235294117647,female
Toofan Aur Bijlee,sheela,5.0,214.0,42.0,5.095238095238095,female
Toofan Aur Bijlee,daughter,1.0,0.0,23.0,0.0,female
Cocktail,mother,4.0,164.0,49.0,3.346938775510204,female
Cocktail,meera,53.0,902.4,382.0,2.3623036649214657,female
Cocktail,kavitha,3.0,96.0,60.0,1.6,female
Cocktail,gautam,41.0,1120.5,295.0,3.798305084745763,female
Cocktail,girl,4.0,448.83333333333337,54.0,8.31172839506173,female
Cocktail,veronica,30.0,658.8666666666667,273.0,2.4134310134310133,female
Kyaa Super Kool Hai Hum,simran,11.0,6275.333333333333,118.0,53.18079096045197,female
Kyaa Super Kool Hai Hum,mother,3.0,308.5,32.0,9.640625,female
Kyaa Super Kool Hai Hum,rosemary,4.0,34.5,15.0,2.3,female
Kyaa Super Kool Hai Hum,anu,5.0,991.0,60.0,16.516666666666666,female
Zameer,rukmini,6.0,104.66666666666669,72.0,1.453703703703704,female
Zameer,sunita,3.0,0.0,43.0,0.0,female
Jism 2,izna,82.0,3555.216666666667,680.0,5.22825980392157,female
Zinda Dil,mother,2.0,20.216666666666665,16.0,1.2635416666666666,female
Zinda Dil,jyoti,3.0,0.0,15.0,0.0,female
Gangs of Wasseypur  Part 2,durga,1.0,0.0,25.0,0.0,female
Gangs of Wasseypur  Part 2,shama,3.0,8.0,31.0,0.2580645161290322,female
Gangs of Wasseypur  Part 2,mohsina,2.0,37.0,14.0,2.642857142857143,female
Gangs of Wasseypur  Part 2,nagma,4.0,45.0,35.0,1.2857142857142858,female
Ek Tha Tiger,zoya,16.0,573.8,153.0,3.750326797385621,female
Shirin Farhad Ki Toh Nikal Padi,chelsie,2.0,0.0,14.0,0.0,female
Shirin Farhad Ki Toh Nikal Padi,mother,3.0,24.66666666666667,22.0,1.121212121212121,female
Shirin Farhad Ki Toh Nikal Padi,woman,1.0,87.33333333333334,13.0,6.717948717948719,female
Shirin Farhad Ki Toh Nikal Padi,shirin,7.0,145.0,69.0,2.101449275362319,female
Jalpari: The Desert Mermaid,,0.0,0.0,0.0,0.0,female
Jalpari: The Desert Mermaid,shabri,3.0,264.0,34.0,7.764705882352941,female
Jalpari: The Desert Mermaid,shreya,10.0,1471.9666666666667,134.0,10.984825870646766,female
From Sydney with Love,meghaa,9.0,101.0,103.0,0.9805825242718448,female
From Sydney with Love,girl,1.0,2192.4999999999995,37.0,59.25675675675674,female
From Sydney with Love,lubaina,1.0,114.0,7.0,16.285714285714285,female
Raaz 3,actress,2.0,60.0,16.0,3.75,female
Raaz 3,sanjana,20.0,691.1666666666667,176.0,3.927083333333334,female
Raaz 3,shanaya,44.0,1419.3333333333337,375.0,3.784888888888889,female
Adalat,ajit,16.0,365.3333333333334,164.0,2.227642276422765,female
Chal Pichchur Banate Hain,suraj,9.0,16.0,96.0,0.1666666666666666,female
Chal Pichchur Banate Hain,he,0.0,0.0,0.0,0.0,female
Ali Baba,woman,2.0,75.0,23.0,3.260869565217391,female
Barfi!,mother,4.0,115.5,59.0,1.957627118644068,female
Barfi!,shruti,23.0,9.0,202.0,0.0445544554455445,female
Barfi!,jhilmil,26.0,495.33333333333337,217.0,2.2826420890937023,female
Barfi!,ghosh,1.0,341.0,31.0,11.0,female
Bairaag,lucy,4.0,154.66666666666666,27.0,5.728395061728395,female
Heroine,actress,2.0,221.5,23.0,9.630434782608695,female
Heroine,mahi,27.0,428.6,321.0,1.335202492211838,female
English Vinglish,mother,1.0,23.33333333333333,7.0,3.3333333333333326,female
English Vinglish,radha,3.0,211.83333333333331,57.0,3.716374269005848,female
English Vinglish,shashi,55.0,1541.5,414.0,3.723429951690821,female
English Vinglish,daughter,2.0,0.0,29.0,0.0,female
Aiyyaa,the,13.0,41.0,123.0,0.3333333333333333,female
Aiyyaa,woman,1.0,197.5,21.0,9.404761904761903,female
Aiyyaa,meenakshi,26.0,1234.3333333333333,227.0,5.437591776798825,female
